#run,max_H,min_H,a_BL_mean,a_BL_median,a_BL_var,i_BL_mean_i,i_BL_var_i,i_BL_mean_e,i_BL_var_e,colless,sackin,WD_ratio,DeltaW,max_ladder,staircaseness_1,staircaseness_2,max_L,t_max_L,slope_1,slope_2,slope_ratio
767,49.858032,46.001343,47.67235352,47.781494,1.46128897711359,1.31253485714286,1.98294480472098,34.7645982352941,4.57311671699881,97,1191.808838,0.666666666666667,4,40,0.666666666666667,4.03472222222222,25,15.7924951919192,1.32974553702859,-0.725831252621149,-1.83203125
768,49.605713,46.001099,47.56941412,47.756714,1.59895456516228,1.264328,3.012259141454,32.0986939444444,12.1410213753434,118,1189.235353,0.727272727272727,2,45,0.625,4.89409722222222,25,28.4760742828283,0.596992402504421,-1.19227177085531,-0.500718390804598
769,49.343018,46.002441,47.15999516,46.652222,1.27293138150581,1.10765244444444,2.40921073662736,36.4254578,5.23645903721513,97,1178.999879,1.2,6,31,0.5,4.13740079365079,25,14.1610860808081,1.62416921052199,-0.702125323306401,-2.3132183908046
770,49.756592,46.001099,47.1619238,46.864014,1.41365515314558,4.31578947368421,43.4863956787389,30.3013683809524,67.6029446617847,103,1179.048095,1,6,48,0.583333333333333,4.43055555555556,25,38.9067754343434,0.436941890203368,-2.43659359948702,-0.179324894514768
771,49.816162,46.005859,47.25777348,46.873047,1.37635750908043,6.11849975,66.324530473189,32.5667725555556,111.103632767668,138,1181.444337,0.461538461538462,2,35,0.625,5.13194444444444,25,39.4474036363636,0.0253502108584448,-2.56170551832705,-0.00989583333333333
772,49.605713,46.000854,47.12179208,46.681763,1.18186395241441,1.84191176470588,10.5682294796884,29.7500257368421,13.3388600624345,113,1178.044802,0.833333333333333,6,42,0.625,4.71875,25,30.4399414747475,0.624179912295893,-1.32116601635319,-0.47244623655914
773,49.885742,46.008423,47.38550788,47.166382,1.66774412934803,2.41966028571429,2.98053518327649,29.1422323333333,11.9827367033877,75,1184.637697,0.8,4,47,0.583333333333333,2.87152777777778,25,24.6897686868687,0.850554748662708,-0.991900581530855,-0.8575
774,49.781128,46.000977,47.43645008,47.429199,1.56804449765499,1.13890244444444,1.08642597284825,28.36257925,4.21275752817928,93,1185.911252,1,6,47,0.708333333333333,3.834375,25,22.17324,1.03728638665346,-0.901988162307358,-1.15
775,49.389771,46.008423,47.24072264,47.084961,1.15413529934608,1.401062,4.888588959162,36.3208435,2.40904200919954,67,1181.018066,1.11111111111111,8,47,0.708333333333333,3.20238095238095,25,12.7084247070707,1.33769529991719,-0.672620360312915,-1.98878205128205
776,49.605713,46.008423,47.02141112,46.537476,1.14261944737361,1.94675022222222,8.57584678494795,36.5862908421053,23.8625786901157,140,1175.535278,0.461538461538462,2,45,0.708333333333333,5.43055555555556,25,19.1477051212121,0.365579057943883,-0.814719043417797,-0.448717948717949
